case_number,source,source_date_end
23-081107,dv_final_enriched.csv,2025-10-29
23-081299,dv_final_enriched.csv,2025-10-29
23-081804,dv_final_enriched.csv,2025-10-29
23-081820,dv_final_enriched.csv,2025-10-29
23-081891,dv_final_enriched.csv,2025-10-29
23-082012,dv_final_enriched.csv,2025-10-29
23-082352,dv_final_enriched.csv,2025-10-29
23-082468,dv_final_enriched.csv,2025-10-29
23-082904,dv_final_enriched.csv,2025-10-29
23-084058,dv_final_enriched.csv,2025-10-29
23-084442,dv_final_enriched.csv,2025-10-29
23-084458,dv_final_enriched.csv,2025-10-29
23-084702,dv_final_enriched.csv,2025-10-29
23-084798,dv_final_enriched.csv,2025-10-29
23-086744,dv_final_enriched.csv,2025-10-29
23-086808,dv_final_enriched.csv,2025-10-29
23-086852,dv_final_enriched.csv,2025-10-29
23-086955,dv_final_enriched.csv,2025-10-29
23-086959,dv_final_enriched.csv,2025-10-29
23-086998,dv_final_enriched.csv,2025-10-29
23-087117,dv_final_enriched.csv,2025-10-29
23-087463,dv_final_enriched.csv,2025-10-29
23-087588,dv_final_enriched.csv,2025-10-29
23-087706,dv_final_enriched.csv,2025-10-29
23-088249,dv_final_enriched.csv,2025-10-29
23-088659,dv_final_enriched.csv,2025-10-29
23-088902,dv_final_enriched.csv,2025-10-29
23-089010,dv_final_enriched.csv,2025-10-29
23-089426,dv_final_enriched.csv,2025-10-29
23-089567,dv_final_enriched.csv,2025-10-29
23-089798,dv_final_enriched.csv,2025-10-29
23-089903,dv_final_enriched.csv,2025-10-29
23-090119,dv_final_enriched.csv,2025-10-29
23-090228,dv_final_enriched.csv,2025-10-29
23-090457,dv_final_enriched.csv,2025-10-29
23-090478,dv_final_enriched.csv,2025-10-29
23-090909,dv_final_enriched.csv,2025-10-29
23-091005,dv_final_enriched.csv,2025-10-29
23-091006,dv_final_enriched.csv,2025-10-29
23-091578,dv_final_enriched.csv,2025-10-29
23-091686,dv_final_enriched.csv,2025-10-29
23-091707,dv_final_enriched.csv,2025-10-29
23-091849,dv_final_enriched.csv,2025-10-29
23-092185,dv_final_enriched.csv,2025-10-29
23-092574,dv_final_enriched.csv,2025-10-29
23-092727,dv_final_enriched.csv,2025-10-29
23-092868,dv_final_enriched.csv,2025-10-29
23-093015,dv_final_enriched.csv,2025-10-29
23-093137,dv_final_enriched.csv,2025-10-29
23-093696,dv_final_enriched.csv,2025-10-29
23-094262,dv_final_enriched.csv,2025-10-29
23-094303,dv_final_enriched.csv,2025-10-29
23-094396,dv_final_enriched.csv,2025-10-29
23-095411,dv_final_enriched.csv,2025-10-29
23-095447,dv_final_enriched.csv,2025-10-29
23-095506,dv_final_enriched.csv,2025-10-29
23-096227,dv_final_enriched.csv,2025-10-29
23-096445,dv_final_enriched.csv,2025-10-29
23-096497,dv_final_enriched.csv,2025-10-29
23-096766,dv_final_enriched.csv,2025-10-29
23-097374,dv_final_enriched.csv,2025-10-29
23-097382,dv_final_enriched.csv,2025-10-29
23-097796,dv_final_enriched.csv,2025-10-29
23-097885,dv_final_enriched.csv,2025-10-29
23-098036,dv_final_enriched.csv,2025-10-29
23-098146,dv_final_enriched.csv,2025-10-29
23-098326,dv_final_enriched.csv,2025-10-29
23-098408,dv_final_enriched.csv,2025-10-29
23-098788,dv_final_enriched.csv,2025-10-29
23-099168,dv_final_enriched.csv,2025-10-29
23-099246,dv_final_enriched.csv,2025-10-29
23-100097,dv_final_enriched.csv,2025-10-29
23-100173,dv_final_enriched.csv,2025-10-29
23-100421,dv_final_enriched.csv,2025-10-29
23-100446,dv_final_enriched.csv,2025-10-29
23-100447,dv_final_enriched.csv,2025-10-29
23-100449,dv_final_enriched.csv,2025-10-29
23-100746,dv_final_enriched.csv,2025-10-29
23-100842,dv_final_enriched.csv,2025-10-29
23-100948,dv_final_enriched.csv,2025-10-29
23-101297,dv_final_enriched.csv,2025-10-29
23-101518,dv_final_enriched.csv,2025-10-29
23-102058,dv_final_enriched.csv,2025-10-29
23-102557,dv_final_enriched.csv,2025-10-29
23-102686,dv_final_enriched.csv,2025-10-29
23-102784,dv_final_enriched.csv,2025-10-29
23-102905,dv_final_enriched.csv,2025-10-29
23-103164,dv_final_enriched.csv,2025-10-29
23-103264,dv_final_enriched.csv,2025-10-29
23-103717,dv_final_enriched.csv,2025-10-29
23-103860,dv_final_enriched.csv,2025-10-29
23-104094,dv_final_enriched.csv,2025-10-29
23-104302,dv_final_enriched.csv,2025-10-29
23-104477,dv_final_enriched.csv,2025-10-29
23-104535,dv_final_enriched.csv,2025-10-29
